iter	RMSEWithUncertainty
0	2.051635847
1	2.051605345
2	2.051567258
3	2.051462036
4	2.051434515
5	2.051396975
6	2.051376232
7	2.051351478
8	2.051319979
9	2.051292498
10	2.051244756
11	2.051186409
12	2.051115685
13	2.05108866
14	2.051050394
15	2.050989818
16	2.050954461
17	2.050915884
18	2.050890663
19	2.050834022
20	2.050794454
21	2.050768561
22	2.050727849
23	2.050660375
24	2.050629925
25	2.050579505
26	2.05053577
27	2.050473157
28	2.050445443
29	2.050387972
30	2.050338412
31	2.050290741
32	2.050269373
33	2.050219698
34	2.050199088
35	2.050140508
36	2.050121545
37	2.050100763
38	2.050049226
39	2.050019493
40	2.049883797
41	2.049834555
e+13
34	1.024188042e+13
35	1.133444254e+14
36	9.276340129e+13
37	4.49624242e+13
38	2.410019306e+14
39	2.136679725e+14
40	1.46501395e+14
41	1.004485259e+14
42	1.389488236e+14
43	1.341141638e+14
44	4.98793303e+14
45	5.773340891e+14
46	4.441559717e+14
47	1.163650153e+15
48	8.763523236e+14
49	6.785049185e+29
50	2.321020465e+29
51	2.364715343e+29
52	1.623997443e+29
53	1.115434388e+29
54	1.168874482e+29
55	5.856256832e+28
56	4.72093813e+28
57	1.478006654e+28
58	1.014018411e+28
59	6.956833489e+27
60	4.772812573e+27
61	3.274426996e+27
62	1.887008806e+27
63	1.284794236e+27
64	4.23489915e+27
65	7.574129303e+27
66	5.991911332e+27
67	7.703937624e+27
68	4.505538666e+27
69	6.216223781e+27
70	4.571050964e+27
71	5.607547599e+27
72	4.398477245e+27
73	3.009071951e+27
74	2.057699515e+27
75	2.235659652e+27
76	1.924862257e+27
77	1.315399557e+27
78	1.389933829e+27
79	1.227048521e+27
80	8.38844273e+26
81	5.73159808e+26
82	3.913929784e+26
83	2.670894434e+26
84	1.192198225e+30
85	1.151223076e+44
86	7.898414285e+43
87	5.419312879e+43
88	3.337899359e+43
89	2.24968294e+43
90	1.546322039e+43
91	1.05834865e+43
92	7.30912696e+42
93	6.697074271e+42
94	4.600165144e+42
95	2.884610925e+42
96	6.125707148e+42
97	5.119584611e+42
98	3.50135886e+42
99	2.393732551e+42
100	1.667631725e+42
101	1.139136302e+42
102	7.777088607e+41
103	5.306312156e+41
104	3.3854078e+41
105	2.305474296e+41
106	1.443332055e+41
107	9.802210242e+40
108	3.480212034e+41
109	1.445713906e+41
110	9.881262679e+40
111	6.64933142e+40
112	4.473952794e+40
113	1.229847384e+41
114	8.397066471e+40
115	6.16937098e+40
116	4.229023541e+40
117	2.899008591e+40
118	6.755365063e+55
119	4.616257768e+55
120	8.489351467e+76
121	4.982137742e+139
122	3.409871939e+139
123	2.336372683e+139
124	1.605604865e+139
125	1.107662922e+139
126	7.647752683e+138
127	5.299835706e+138
128	3.694098196e+138
129	2.589376962e+138
130	1.142134913e+140
131	8.328150527e+139
132	5.721199911e+139
133	3.935815712e+139
134	2.713760743e+139
135	1.874473045e+139
136	1.299339195e+139
137	8.773564712e+138
138	inf
765658
174	2.008588624
175	2.008370601
176	2.00816694
177	2.007957911
178	2.007736835
179	2.007543493
180	2.007342656
181	2.007117737
182	2.006900884
183	2.006674283
184	2.006488724
185	2.006297737
186	2.00612198
187	2.005930738
188	2.005737091
189	2.005532986
190	2.005305027
191	2.005111387
192	2.004875585
193	2.004692614
194	2.004467501
195	2.004239863
196	2.004056809
197	2.003857282
198	2.003649715
199	2.003423861
200	2.003197169
201	2.00300586
202	2.002796173
203	2.002592688
204	2.002365088
205	2.002199976
206	2.001972298
207	2.001758783
208	2.001545678
209	2.001318189
210	2.001113019
211	2.000885729
212	2.000687264
213	2.000465447
214	2.000265697
215	2.000050578
216	1.999873265
217	1.999680156
218	1.999466273
219	1.999265341
220	1.999057513
221	1.998874596
222	1.998676877
223	1.998489658
224	1.998281615
225	1.99810055
226	1.997912428
227	1.997734765
228	1.997546619
229	1.997361914
230	1.997139734
231	1.996953029
232	1.996770229
233	1.996585108
234	1.996413707
235	1.996212411
236	1.996029073
237	1.995846666
238	1.995643776
239	1.995463825
240	1.995265462
241	1.995054523
242	1.994858659
243	1.994659059
244	1.994476355
245	1.994279568
246	1.994067618
247	1.993872512
248	1.993657734
249	1.993470975
250	1.993249957
251	1.993053378
252	1.992828371
253	1.992620417
254	1.992437687
255	1.9922673
256	1.992075736
257	1.99190901
258	1.991724473
259	1.9915354
260	1.991356144
261	1.991188378
262	1.991000666
263	1.990814751
264	1.990596718
265	1.99038193
266	1.990158452
267	1.989979488
268	1.989798616
269	1.989581541
270	1.989410184
271	1.989214039
272	1.98899627
273	1.988802152
274	1.988592093
275	1.988376222
276	1.988202381
277	1.987982616
278	1.987799915
279	1.987635521
280	1.987463217
281	1.987264138
282	1.98705321
283	1.986870178
284	1.986643934
285	1.986472313
286	1.986252483
287	1.986046439
288	1.985872966
289	1.985645579
290	1.985445527
291	1.985236214
292	1.985020336
293	1.984827698
294	1.984630486
295	1.984436626
296	1.984256856
297	1.984050149
298	1.983881062
299	1.983709628
300	1.983526922
301	1.983340854
302	1.983143026
303	1.98297369
304	1.982767979
305	1.982590998
306	1.982412271
307	1.982203171
308	1.982057995
309	1.981859612
310	1.981674608
311	1.981509127
312	1.981305993
313	1.981099649
314	1.980922363
315	1.980741531
316	1.980567112
317	1.98038287
318	1.980215089
319	1.980000044
320	1.979803168
321	1.979639587
322	1.979441381
323	1.979264647
324	1.979077079
325	1.978875961
326	1.978689292
327	1.978521545
328	1.978330644
329	1.978127372
330	1.977945139
331	1.977793839
332	1.977606337
333	1.977414075
334	1.977211481
335	1.976998332
336	1.976796125
337	1.976591832
338	1.976406059
339	1.976208934
340	1.976032984
341	1.975842178
342	1.975635187
343	1.975448142
344	1.975228061
345	1.975044907
346	1.97486952
347	1.974675521
348	1.974490727
349	1.974322944
350	1.974123028
351	1.973945359
352	1.97375658
353	1.973553064
354	1.973369795
355	1.97319867
356	1.97300054
357	1.972862442
358	1.972698299
359	1.97250383
360	1.972315103
361	1.972148568
362	1.971967794
363	1.971761397
364	1.97154984
365	1.971357755
366	1.971198934
367	1.970987027
368	1.970791
369	1.97060769
370	1.970397052
371	1.970228879
372	1.970030411
373	1.969851429
374	1.969652256
375	1.969496537
376	1.969289672
377	1.969085802
378	1.968892597
379	1.968707802
380	1.968525296
381	1.968320265
382	1.968161651
383	1.967962975
384	1.967788084
385	1.967592327
386	1.967409955
387	1.967195603
388	1.967023109
389	1.966840733
390	1.966647481
391	1.966439611
392	1.966265173
393	1.966098084
394	1.965904259
395	1.965742535
396	1.965599491
397	1.965423982
398	1.965240661
399	1.965073902
400	1.964922984
401	1.96472855
402	1.96453977
403	1.964365174
404	1.964198826
405	1.964031266
406	1.96385831
407	1.963679187
408	1.963491256
409	1.963286675
410	1.963117446
411	1.962947182
412	1.962741451
413	1.962572172
414	1.962424788
415	1.962229928
416	1.962020419
417	1.961840718
418	1.961651977
419	1.961491958
420	1.961327855
421	1.961160699
422	1.96096041
423	1.960759843
424	1.960547428
425	1.960377608
426	1.960212654
427	1.960046434
428	1.95986852
429	1.959688635
430	1.959497726
431	1.959349577
432	1.959165965
433	1.958978954
434	1.958820268
435	1.958626406
436	1.958428456
437	1.958262476
438	1.958091214
439	1.957894055
440	1.957704928
441	1.957547412
442	1.957363688
443	1.957191169
444	1.957023444
445	1.956829454
446	1.956683037
447	1.956487133
448	1.956304051
449	1.956107751
450	1.955962101
451	1.955759642
452	1.955567242
453	1.955365971
454	1.955187765
455	1.955008312
456	1.954821223
457	1.954624535
458	1.954464727
459	1.95426885
460	1.954096064
461	1.9539348
462	1.953755228
463	1.953548013
464	1.953369934
465	1.953174007
466	1.952996606
467	1.952837582
468	1.952678779
469	1.952517225
470	1.952352581
471	1.952151221
472	1.952009372
473	1.95181912
474	1.951642517
475	1.951495132
476	1.951327225
477	1.951152814
478	1.95097795
479	1.950821684
480	1.950648499
481	1.950487399
482	1.950289255
483	1.95010162
484	1.94994091
485	1.949774857
486	1.949569679
487	1.94939983
488	1.949236388
489	1.949080047
490	1.948890965
491	1.94874435
492	1.948555677
493	1.948402244
494	1.948219139
495	1.948060225
496	1.947870938
497	1.947682341
498	1.947511093
499	1.947328931
500	1.947133174
501	1.946948015
502	1.946778177
503	1.94661205
504	1.946448496
505	1.946284027
506	1.946132019
507	1.945943027
508	1.945798276
509	1.945634057
510	1.945460689
511	1.945289332
512	1.94512456
513	1.944923848
514	1.944731669
515	1.94454071
516	1.944347217
517	1.944183974
518	1.943998313
519	1.943824242
520	1.943653887
521	1.943482065
522	1.943318606
523	1.943152086
524	1.942989635
525	1.942821009
526	1.942652559
527	1.942474158
528	1.942312334
529	1.942125373
530	1.941946816
531	1.941771523
532	1.941590898
533	1.941437116
534	1.941267511
535	1.941125248
536	1.940924259
537	1.940765011
538	1.940585533
539	1.940427032
540	1.940267017
541	1.940108421
542	1.939919464
543	1.939764739
544	1.939605512
545	1.93945982
546	1.939270824
547	1.939103399
548	1.938935098
549	1.938756113
550	1.938597719
551	1.938454382
552	1.938260271
553	1.938058594
554	1.937904518
555	1.937735743
556	1.937564397
557	1.937374906
558	1.937197194
559	1.937029096
560	1.936835502
561	1.936664825
562	1.93653072
563	1.936332777
564	1.936169055
565	1.935998469
566	1.935825062
567	1.93564491
568	1.93547263
569	1.935287
570	1.935110106
571	1.934921551
572	1.934729009
573	1.934584341
574	1.934418081
575	1.934243882
576	1.934111216
577	1.933921512
578	1.933744335
579	1.933598619
580	1.933412673
581	1.933245119
582	1.933056284
583	1.932893912
584	1.932741744
585	1.932552151
586	1.932399163
587	1.932251375
588	1.932085838
