iter	Passed	Remaining
0	360	16927
1	510	11748
2	696	10441
3	864	9511
4	1042	8962
5	1200	8405
6	1319	7726
7	1442	7211
8	1565	6783
9	1679	6381
10	1741	5857
11	1849	5547
12	1859	5006
13	1972	4790
14	2086	4590
15	2199	4398
16	2302	4199
17	2405	4009
18	2511	3833
19	2616	3663
20	2721	3499
21	2828	3342
22	2932	3188
23	3040	3040
24	3145	2893
25	3173	2685
26	3279	2550
27	3382	2415
28	3488	2285
29	3591	2154
30	3692	2025
31	3708	1854
32	3818	1735
33	3924	1616
34	4028	1496
35	4137	1379
36	4254	1264
37	4423	1164
38	14186	3273
39	14306	2861
40	14313	2443
41	14424	2060
60	36897
41	1685	36519
42	1715	36271
43	1742	35968
44	1770	35684
45	1795	35373
46	1821	35078
47	1846	34783
48	1874	34542
49	1902	34313
50	1928	34073
51	1943	33629
52	1967	33376
53	1992	33129
54	2017	32897
55	2044	32716
56	2070	32507
57	2097	32327
58	2125	32173
59	2156	32055
60	2187	31950
61	2214	31790
62	2241	31623
63	2268	31477
64	2295	31324
65	2321	31164
66	2347	31014
67	2374	30862
68	2400	30723
69	2425	30564
70	2451	30423
71	2476	30270
72	2501	30121
73	2527	29985
74	2552	29850
75	2577	29711
76	2602	29569
77	2628	29455
78	2652	29309
79	2677	29185
80	2702	29059
81	2728	28951
82	2753	28826
83	2778	28708
84	2803	28598
85	2829	28490
86	2852	28364
87	2880	28286
88	2905	28171
89	2931	28076
90	2957	27986
91	2982	27877
92	3005	27761
93	3031	27669
94	3056	27572
95	3082	27485
96	3108	27396
97	3132	27296
98	3155	27188
99	3183	27123
100	3208	27033
101	3233	26944
102	3258	26857
103	3285	26786
104	3310	26701
105	3335	26624
106	3362	26554
107	3387	26469
108	3411	26385
109	3435	26299
110	3463	26243
111	3490	26176
112	3515	26101
113	3540	26025
114	3564	25940
115	3590	25873
116	3615	25805
117	3641	25738
118	3668	25679
119	3695	25620
120	3721	25555
121	3743	25470
122	3768	25399
123	3792	25323
124	3817	25256
125	3842	25186
126	3866	25118
127	3890	25048
128	3914	24975
129	3938	24905
130	3962	24834
131	3987	24767
132	4012	24709
133	4038	24654
134	4063	24592
135	4088	24530
136	4111	24461
137	4136	24396
138	4159	24328

152	1518	4327
153	1533	4330
154	1540	4312
155	1546	4292
156	1552	4272
157	1558	4252
158	1565	4232
159	1570	4211
160	1576	4191
161	1583	4174
162	1589	4153
163	1595	4135
164	1601	4116
165	1607	4097
166	1613	4078
167	1620	4060
168	1625	4040
169	1631	4021
170	1637	4002
171	1642	3983
172	1648	3964
173	1657	3952
174	1674	3960
175	1682	3947
176	1688	3929
177	1695	3913
178	1700	3895
179	1708	3882
180	1715	3866
181	1721	3850
182	1727	3833
183	1733	3815
184	1739	3798
185	1745	3781
186	1751	3764
187	1757	3748
188	1763	3733
189	1770	3717
190	1776	3702
191	1782	3686
192	1788	3670
193	1794	3653
194	1800	3637
195	1806	3622
196	1812	3606
197	1818	3591
198	1825	3578
199	1832	3563
200	1839	3550
201	1845	3535
202	1850	3519
203	1859	3509
204	1865	3494
205	1871	3478
206	1876	3463
207	1883	3449
208	1889	3435
209	1895	3420
210	1901	3407
211	1908	3393
212	1913	3378
213	1919	3364
214	1925	3349
215	1931	3335
216	1937	3320
217	1942	3306
218	1948	3291
219	1954	3278
220	1960	3264
221	1966	3250
222	1972	3237
223	1977	3222
224	1983	3208
225	1988	3194
226	1994	3180
227	2000	3166
228	2005	3153
229	2011	3139
230	2017	3126
231	2022	3112
232	2028	3099
233	2034	3085
234	2040	3074
235	2046	3061
236	2053	3050
237	2059	3037
238	2066	3026
239	2072	3013
240	2078	3001
241	2084	2989
242	2090	2976
243	2098	2966
244	2104	2954
245	2111	2943
246	2117	2932
247	2123	2919
248	2130	2908
249	2136	2896
250	2142	2885
251	2150	2876
252	2156	2863
253	2162	2851
254	2167	2839
255	2174	2828
256	2180	2816
257	2186	2804
258	2192	2793
259	2198	2781
260	2204	2770
261	2210	2759
262	2216	2747
263	2224	2738
264	2231	2727
265	2237	2716
266	2243	2705
267	2249	2693
268	2255	2683
269	2262	2672
270	2269	2663
271	2276	2653
272	2282	2642
273	2288	2631
274	2294	2620
275	2302	2611
276	2308	2600
277	2314	2589
278	2319	2577
279	2327	2568
280	2333	2557
281	2338	2546
282	2346	2537
283	2351	2525
284	2358	2516
285	2364	2505
286	2370	2494
287	2376	2483
288	2382	2473
289	2388	2462
290	2394	2452
291	2400	2441
292	2407	2432
293	2414	2422
294	2419	2411
295	2426	2401
296	2431	2390
297	2437	2380
298	2443	2369
299	2449	2359
300	2455	2348
301	2460	2338
302	2466	2328
303	2472	2317
304	2478	2307
305	2483	2297
306	2489	2286
307	2495	2276
308	2501	2267
309	2507	2256
310	2513	2246
311	2519	2236
312	2524	2226
313	2530	2216
314	2538	2207
315	2543	2197
316	2549	2187
317	2555	2177
318	2560	2167
319	2566	2157
320	2572	2147
321	2578	2138
322	2585	2129
323	2590	2119
324	2597	2110
325	2604	2100
326	2610	2091
327	2615	2081
328	2621	2071
329	2627	2061
330	2632	2052
331	2638	2042
332	2643	2032
333	2650	2023
334	2656	2013
335	2662	2004
336	2668	1995
337	2674	1986
338	2680	1976
339	2686	1967
340	2691	1957
341	2697	1948
342	2703	1938
343	2708	1929
344	2714	1920
345	2720	1910
346	2726	1901
347	2732	1891
348	2739	1883
349	2744	1874
350	2751	1865
351	2757	1856
352	2763	1847
353	2768	1838
354	2774	1828
355	2780	1819
356	2785	1810
357	2791	1801
358	2797	1792
359	2803	1783
360	2809	1774
361	2814	1765
362	2820	1755
363	2826	1746
364	2831	1737
365	2837	1728
366	2843	1719
367	2848	1710
368	2854	1701
369	2859	1692
370	2865	1683
371	2871	1674
372	2877	1666
373	2883	1657
374	2889	1648
375	2895	1640
376	2901	1631
377	2907	1622
378	2913	1614
379	2919	1605
380	2925	1597
381	2931	1588
382	2937	1579
383	2943	1571
384	2949	1563
385	2955	1554
386	2962	1546
387	2967	1537
388	2973	1528
389	2979	1520
390	2985	1511
391	2991	1503
392	2998	1495
393	3005	1487
394	3011	1479
395	3018	1470
396	3023	1462
397	3029	1453
398	3035	1445
399	3041	1437
400	3047	1428
401	3053	1420
402	3058	1411
403	3064	1403
404	3070	1394
405	3075	1386
406	3082	1378
407	3089	1370
408	3094	1362
409	3100	1353
410	3107	1345
411	3112	1337
412	3119	1329
413	3124	1320
414	3131	1313
415	3137	1304
416	3143	1296
417	3148	1288
418	3154	1279
419	3160	1271
420	3165	1263
421	3172	1255
422	3177	1247
423	3183	1238
424	3189	1230
425	3195	1222
426	3202	1214
427	3208	1207
428	3214	1198
429	3220	1190
430	3225	1182
431	3231	1174
432	3236	1166
433	3242	1158
434	3248	1150
435	3254	1142
436	3260	1134
437	3266	1126
438	3272	1118
439	3279	1110
440	3285	1102
441	3291	1094
442	3297	1086
443	3303	1078
444	3310	1071
445	3317	1063
446	3323	1055
447	3328	1047
448	3335	1039
449	3340	1031
450	3347	1024
451	3354	1016
452	3360	1008
453	3366	1000
454	3371	993
455	3377	985
456	3383	977
457	3389	969
458	3396	961
459	3402	954
460	3408	946
461	3414	938
462	3420	930
463	3426	923
464	3433	915
465	3438	907
466	3444	899
467	3450	892
468	3456	884
469	3462	876
470	3468	868
471	3474	861
472	3479	853
473	3485	845
474	3491	837
475	3497	830
476	3502	822
477	3509	815
478	3516	807
479	3521	799
480	3527	792
481	3534	784
482	3540	776
483	3545	769
484	3551	761
485	3557	753
486	3563	746
487	3568	738
488	3574	731
489	3581	723
490	3587	716
491	3593	708
492	3598	700
493	3604	693
494	3610	685
495	3615	677
496	3624	670
497	3629	663
498	3635	655
499	3642	648
500	3648	640
501	3655	633
502	3660	625
503	3667	618
504	3673	611
505	3679	603
506	3684	595
507	3690	588
508	3697	581
509	3703	573
510	3709	566
511	3716	558
512	3722	551
513	3730	544
514	3736	536
515	3743	529
516	3749	522
517	3755	514
518	3760	507
519	3766	499
520	3772	492
521	3777	484
522	3783	477
523	3789	470
524	3795	462
525	3801	455
526	3807	447
527	3813	440
528	3819	433
529	3824	425
530	3830	418
531	3836	411
532	3842	403
533	3847	396
534	3853	388
535	3859	381
536	3864	374
537	3870	366
538	3876	359
539	3882	352
540	3887	344
541	3894	337
542	3900	330
543	3906	323
544	3912	315
545	3918	308
546	3924	301
547	3929	294
548	3935	286
549	3941	279
550	3947	272
551	3952	264
552	3958	257
553	3965	250
554	3970	243
555	3976	236
556	3981	228
557	3987	221
558	3993	214
559	3998	207
560	4004	199
561	4009	192
562	4015	185
563	4021	178
564	4026	171
565	4032	163
566	4037	156
567	4043	149
568	4049	142
569	4055	135
570	4063	128
571	4070	120
572	4075	113
573	4082	106
574	4089	99
575	4096	92
576	4101	85
577	4107	78
578	4114	71
579	4120	63
580	4126	56
581	4132	49
582	4139	42
583	4144	35
584	4150	28
585	4156	21
586	4161	14
587	4167	7
588	4173	0
